

C  FILE:  BOXODES1.DAT

!  time            A               B
   1.0000000e+00   5.0417082e-01   4.1553047e-01
   2.0000000e+00   1.8578268e-01   4.8858236e-01
   3.0000000e+00   2.1727010e-01   5.9496475e-01
   4.0000000e+00   2.2606783e-02   5.0557022e-01
   5.0000000e+00   1.0189481e-01   4.9319709e-01
   6.0000000e+00   5.7951379e-02   4.5776855e-01
   7.0000000e+00   6.4585766e-02   3.9403871e-01
   8.0000000e+00   0.0000000e+00   3.3477578e-01
   9.0000000e+00   8.2026223e-02   3.0952097e-01

%  time            A               B
   1.0000000e+00   4.1482714e-01   5.1841137e-01
   2.0000000e+00   1.5556625e-01   6.1318360e-01
   3.0000000e+00   1.9615824e-01   6.4415809e-01
   4.0000000e+00   5.5381456e-02   4.4400307e-01
   5.0000000e+00   1.1081467e-02   4.3479304e-01
   6.0000000e+00   0.0000000e+00   3.2339277e-01
   7.0000000e+00   3.2130657e-02   3.8965389e-01
   8.0000000e+00   0.0000000e+00   1.4877750e-01
   9.0000000e+00   7.9171785e-02   2.2161736e-01


